XX,YY
0.0,0.0
-0.019684720987948757,-0.019684720987948757
-0.02224113288087564,-0.02224113288087564
-0.22879330445000645,-0.22879330445000645
-0.51607069761410718,-0.51607069761410718
-0.771397333920121,-0.771397333920121
-1.0332808446112935,-1.0332808446112935
-1.3331829620870073,-1.3331829620870073
-1.633018303863853,-1.633018303863853
-1.5262415896353276,-1.5262415896353276
-1.5671307219402688,-1.5671307219402688
-1.2814711147099418,-1.2814711147099418
-1.4390087907882441,-1.4390087907882441
-1.3478936006626272,-1.3478936006626272
-1.0916170143856596,-1.0916170143856596
-1.3913912025390147,-1.3913912025390147
-1.0964140567920522,-1.0964140567920522
-1.1710071630157746,-1.1710071630157746
-1.4000466744354916,-1.4000466744354916
-1.380368280253369,-1.380368280253369
